YakHub-DobeoContactListw.c.09Mar15,,
phone,name,address
00442078233512,MacGillOfKensington,TheChambersChelseaHarbourChelseaLondonSW100XF
00442083922859,TheRiversideDryCleaningCompany,TheBroadway9WhiteHartLaneBarnesLondonSW130NY
00442086772992,CleanScene,SandersParadeGreyhoundLaneStreathamLondonSW165NL
00442077988698,DolphinSquareDryCleaners,RodneyArcadeDolphinSquarePimlicoLondonSW1V3LX
00442088770586,DonovanDunne,GlenvilleMewsIndustrialEstateGlenvilleMewsSouthfieldsLondonSW184NJ
00442086733020,DIBADryCleaners,DryCleaners77AbbevilleRoadClaphamSouthLondonSW49JN
00442075829114,HudsonsDrycleaner,DrakeHouseSt.GeorgeWharfWandsworthLondonSW82LE
00442075829114,HudsonsDrycleaner,DrakeHouseSt.GeorgeWharfWandsworthLondonSW82LE
00442072339249,KnightsDryCleaners,ColonnadeWalk123BuckinghamPalaceRoadVictoriaLondonSW1W9SH
00442073513563,Angelo&Rosa,ChelseaFarmersMarket125SydneyStreetChelseaLondonSW36NR
00442073515770,MacGillOfKensington,ChelseaFarmersMarket125SydneyStreetChelseaLondonSW36NR
00442073715358,ValetVite,BroxholmeHouseNewKingsRoadFulhamLondonSW64AA
00442072223710,TheWhiteRose,BroadwayShoppingCentre55BroadwayWestminsterLondonSW1H0BB
00442087692506,StarliteDryCleaners,BankBuildingMitchamLaneStreathamLondonSW166NG
00442088475595,BrentfordDryCleaners,AlbanyParadeHighStreetBrentfordBrentfordTW80JS
00442073260666,Exclusive,9StockwellGreenStockwellLondonSW99JF
00442086724280,HeritageDryCleaners,9NorthStreetClaphamLondonSW40HN
00442034419255,MicacleDryCleaning,9GloucesterRoadSouthKensingtonLondonSW74PP
00442034419255,MiracleDryCleaning&Laundry,9GloucesterRoadSouthKensingtonLondonSW74PP
00442077223337,MadameGeorge,9CircusRoadSt.JohnsWoodLondonNW86NX
00442072296387,99DryCleaners,99WestbourneGroveBayswaterLondonW24UW
00442088836155,CarltonCleaners,96FortisGreenRoadMuswellHillLondonN103HN
00442084443582,Penguin,95ColneyHatchLaneMuswellHillLondonN101LR
00442086734006,SuperClean,95BalhamHighRoadBalhamLondonSW129AP
00442077510633,LaPerla,947FulhamRoadFulhamLondonSW65HY
00442085425653,CBECleaningServices,94-96HaydonsRoadMertonLondonSW191HU
00442086718155,UnicornDryCleaning,91StreathamHillStreathamHillLondonSW24UD
00442076247530,Bromptons,91BoundaryRoadSt.JohnsWoodLondonNW80RG
00442077309978,BelgraveDryCleaners,8LowerBelgraveStreetVictoriaLondonSW1W0LJ
00442076227171,Sycamore,8AOldTownClaphamLondonSW40JY
00442079377111,PremierDryCleaners,8AbingdonRoadKensingtonLondonW86AF
00442078347978,ExpertCleaners,89TachbrookStreetPimlicoLondonSW1V2QA
00442086741691,Capital,86StreathamHillStreathamHillLondonSW24RD
00442073810911,QualityExpressDryCleaners,86ALillieRoadFulhamLondonSW61TL
00442087485619,RoyalDryCleaners,84ChurchRoadBarnesLondonSW130DQ
00442077361701,BlueSkyCleaning,819FulhamRoadFulhamLondonSW65HG
00442078347080,LupusDryCleaners,80LupusStreetPimlicoLondonSW1V3EL
00442076228877,MonarchDryCleaners&Laundrette,80ClaphamParkRoadClaphamLondonSW47BX
00442072239280,Belldetta,80BatterseaRiseBatterseaLondonSW111EH
00442087894292,HumbertsDryCleaners,7PutneyHillPutneyLondonSW156BA
00442088741586,EhsanDryCleaners,7GranvilleRoadSouthfieldsLondonSW185SB
00442073283828,AbbeyDryCleaners,7BlenheimTerraceSt.JohnsWoodLondonNW80EH
00447753794789,ByASmile,7AscotParadeClaphamLondonSW47EY
00442072336135,Expert,79LupusStreetPimlicoLondonSW1V3EN
00442076270230,PremierDryCleaners,79AcreLaneBrixtonLondonSW25TN
00442086646824,KaptanDryCleaners,78MoyserRoadStreathamLondonSW166SQ
00442076724280,HeritageDryCleaners,78-80PloughRoadBatterseaLondonSW112AR
00442072298943,PlazaDryCleaners,75ChepstowRoadBayswaterLondonW25QR
00442086753322,VikingDryCleaners,74BedfordHillBalhamLondonSW129HR
00442073712888,Chenille,72PembrokeRoadKensingtonLondonW86NX
00442077357822,NuitDryCleaners,72BrixtonRoadCamberwellLondonSW96BH
00442089441000,SpotlessDryCleaners,723GarrattLaneTootingLondonSW170PD
00442086772374,MrSteeds,71MitchamLaneStreathamLondonSW166LY
00442078248644,SloaneCleaners,71LowerSloaneStreetChelseaLondonSW1W8DA
00442089951777,FreshAsADaisy,70SouthfieldRoadChiswickLondonW41BD
00442073737979,Tailors,70KenwayRoadEarlsCourtLondonSW50RD
00442086427676,QualityDryCleaners,6StationWayCheamSuttonSM38SW
00447904112393,LilyDryCleaners,6KingstonRoadMertonLondonSW191JZ
00442076043553,Siciliana,6BlenheimTerraceSt.JohnsWoodLondonNW80EB
00442077712315,Sav&Son,6AcreLaneBrixtonLondonSW25SG
00442089475674,VillageDryCleaning,69RidgwayWimbledonVillageLondonSW194SS
00441689872844,ExpressionsDryCleaners,69QueenswayPettsWoodOrpingtonBR51DQ
00442077929695,WestbourneDryCleaners,68WestbourneGroveBayswaterLondonW25SH
00442077366688,ClothesCareDryCleaners,688FulhamRoadFulhamLondonSW65SA
00442087486838,VillageKlean,67ChurchRoadLondonSW139HH
00442087486838,Orchid&Silk,67ChurchRoadBarnesLondonSW139HH
00442085331313,ChatsworthCleaners,67ChatsworthRoadLowerClaptonLondonE50LH
00442085422055,EleganceDryCleaners,67ApproachRoadRaynesParkLondonSW208BA
00441923897172,Rocha,66HighStreetTownCentreRickmansworthWD31AJ
00442084444304,SimplyDomestics,65ColneyHatchLaneMuswellHillLondonN101LW
00442089942672,Laundromat,64ThamesRoadChiswickLondonW43RE
00442034892774,Thames,64ThamesRoadChiswickLondonW43RE
00442089463697,SwanCleaners,64CoombeLaneRaynesParkLondonSW200LA
00442087421002,ArianaQualityDryCleaners,63SouthParadeChiswickLondonW45LG
00442072741101,AToZeeDryCleaners,63LoughboroughRoadStockwellLondonSW97TB
00442077304430,EburyCleaners,63EburyStreetVictoriaLondonSW1W0NZ
00442077312983,FulhamDryCleaners,634FulhamRoadFulhamLondonSW65RT
00442076271208,BatterseaDryCleaners,62BatterseaParkRoadBatterseaLondonSW114JP
00442072238381,BridgeDryCleaners,61BatterseaBridgeRoadBatterseaLondonSW113AU
00442086733686,Shimmers,61AbbevilleRoadClaphamLondonSW49JW
00442087880635,BemroseDryCleaners,60LowerRichmondRoadPutneyLondonSW151JT
00442079370010,LEleganceOfKensington,5StratfordRoadKensingtonLondonW86RQ
00442082492005,PremierDryCleaners,5StileHallParadeChiswickLondonW43AG
00442077510351,Chevals,5StationApproachFulhamLondonSW63UH
00442074603662,DryCleaners,5KenwayRoadEarlsCourtLondonSW50RP
00442074601354,DryCleaners,5HogarthPlaceEarlsCourtLondonSW50QT
00442079981863,AlphaDryCleaners,5EgertonTerraceSouthKensingtonLondonSW32BX
00442086723392,Scobies,5BellevueParadeTootingLondonSW177EE
00442085405050,MasterJohnDryCleaner,5AMertonParkParadeMertonLondonSW193NT
00442077338084,Topps,5AAtlanticRoadBrixtonLondonSW98HX
00442073719919,CapitalDryCleaners,594FulhamRoadFulhamLondonSW65NT
